›SensorName	Date	Timestamp	Humidity	Pressure	Temperature
PER_AIRMON_MESH1965150	19/07/2022	05:00:00	60.2	1007.6	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:01:00	60.2	1007.4	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:02:00	60.2	1007.4	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:03:00	60.2	1008	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:04:00	60.2	1007.8	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:05:00	60.3	1007.3	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:06:00	60.2	1007.9	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:07:00	60.2	1007.2	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:08:00	60.2	1007.4	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:09:00	60.2	1008	22.2
PER_AIRMON_MESH1965150	19/07/2022	05:10:00	60.2	1006.9	22.3
PER_AIRMON_MESH1965150	19/07/2022	05:11:00	60.3	1007.5	22.3
PER_AIRMON_MESH1965150	19/07/2022	05:12:00	60.3	1007.7	22.3
PER_AIRMON_MESH1965150	19/07/2022	05:13:00	60.3	1007.1	22.3
PER_AIRMON_MESH1965150	19/07/2022	05:14:00	60.2	1007.4	22.3
PER_AIRMON_MESH1965150	19/07/2022	05:15:00	60.2	1007.2	22.3
PER_AIRMON_MESH1965150	19/07/2022	05:16:00	60.2	1007.3	22.4
PER_AIRMON_MESH1965150	19/07/2022	05:17:00	60.2	1008	22.4
PER_AIRMON_MESH1965150	19/07/2022	05:18:00	60.1	1007.6	22.4
PER_AIRMON_MESH1965150	19/07/2022	05:19:00	60	1007.8	22.4
PER_AIRMON_MESH1965150	19/07/2022	05:20:00	60	1007.5	22.5
PER_AIRMON_MESH1965150	19/07/2022	05:21:00	60	1007.6	22.5
PER_AIRMON_MESH1965150	19/07/2022	05:22:00	60	1007.3	22.5
PER_AIRMON_MESH1965150	19/07/2022	05:23:00	59.9	1007.8	22.6
PER_AIRMON_MESH1965150	19/07/2022	05:24:00	59.9	1008.1	22.6
PER_AIRMON_MESH1965150	19/07/2022	05:25:00	59.8	1007.4	22.7
PER_AIRMON_MESH1965150	19/07/2022	05:26:00	59.7	1007.2	22.7
PER_AIRMON_MESH1965150	19/07/2022	05:27:00	59.6	1006.5	22.7
PER_AIRMON_MESH1965150	19/07/2022	05:28:00	59.5	1007.5	22.8
PER_AIRMON_MESH1965150	19/07/2022	05:29:00	59.3	1007.3	22.8
